owner_cik,owner_name,issuer_count,filing_count,form3_count,form4_count,form5_count,roles,chairman_flag,director_flag,agent_prefixes,issuer_list
0002124088,PHILLIPS MARGAIN Guadalupe,2,4,1,3,0,Director,0,1,0000895345; 0002124088,"GRUPO TELEVISA, S.A.B. [0000912892]; Controladora Vuela Compania de Aviacion, S.A.B. de C.V. [0001520504]"
0002111657,Pruett William Rodney,2,5,2,3,0,Director,0,1,0000950103; 0001213900,PicS N.V. [0001841644]; dLocal Ltd [0001846832]
0001327935,Qi Dave,2,4,1,3,0,Director,0,1,0001104659; 0001193125,Hello Group Inc. [0001610601]; Sohu.com Ltd [0001734107]
0002115983,Santana Maria Helena dos Santos Fernandes de,2,4,1,3,0,Director,0,1,0001292814,Itau Unibanco Holding S.A. [0001132597]; CI&T Inc [0001868995]
0001217656,SEROUSSI YAIR,2,5,2,3,0,Director,0,1,0001178913; 0001213900,STRATASYS LTD. [0001517396]; Enlight Renewable Energy Ltd. [0001922641]
0002096305,Tricio Haro Eduardo,2,5,2,3,0,Director,0,1,0000895345; 0001561861,"GRUPO TELEVISA, S.A.B. [0000912892]; Grupo Aeromexico, S.A.B. de C.V. [0001561861]"
0001709630,Troim Tor Olav,2,6,3,3,0,Director,0,1,0001628280; 0001709630,GOLAR LNG LTD [0001207179]; Borr Drilling Ltd [0001715497]
0002114081,Yoshida Kenichiro,2,5,2,3,0,Chairman; Director,1,1,0001104659; 0001193125,MITSUBISHI UFJ FINANCIAL GROUP INC [0000067088]; Sony Group Corp [0000313838]
0001703893,Aguzin Alejandro Nicolas,2,4,2,2,0,Director,0,1,0001628280; 0001703893,Pampa Energy Inc. [0001469395]; Globant S.A. [0001557860]
0001628325,Carmel Liron,2,5,3,2,0,Director,0,1,0001213900,Nexera Technologies Ltd [0001885408]; Polyrizon Ltd. [0001893645]
0001139306,CERRONE GABRIELE M,2,4,2,2,0,10% Owner; Director,0,1,0001213900; 0001493152,Tiziana Life Sciences Ltd [0001723069]; OKYO Pharma Ltd [0001849296]
0001978611,Chelouche Yoav,2,4,2,2,0,Director,0,1,0001178913; 0001976408,TOWER SEMICONDUCTOR LTD [0000928876]; CHECK POINT SOFTWARE TECHNOLOGIES LTD [0001015922]
