rank,item_id,published_at,publisher,language,title,score,rationale_tags
175,1170,2022-01-02T07:15:11.000Z,The Guardian,en,"Ghislaine Maxwell, the Demon Queen, is behind bars. Does she have a secret that could unlock her shackles?",-16.5,base:63;primary:banks_trusts_usvi;topic:banks_trusts_usvi;topic:maxwell;topic:political_intelligence;topic:science_philanthropy;topic:properties;topic:staff_operations;topic:legal_accountability;era:2020_2024;fulltext:longform;original-signals:1;outlet:quality;hash:unique;independence:repeat-capped
176,6099,2025-09-08T22:55:00-0400,CBS News,en,"House panel releases more records from Jeffrey Epstein's estate, including letter allegedly written by Trump",-18.7,base:64;primary:banks_trusts_usvi;topic:banks_trusts_usvi;topic:wexner_black;topic:maxwell;topic:political_intelligence;topic:science_philanthropy;topic:legal_accountability;era:2025;fulltext:longform;documents:4;hash:unique;independence:repeat-capped
177,6719,2025-12-12T22:54:23.748Z,NBC News,en,House Democrats release more photos from Jeffrey Epstein's estate,-20.2,base:50;primary:banks_trusts_usvi;topic:banks_trusts_usvi;topic:maxwell;topic:political_intelligence;topic:science_philanthropy;topic:properties;topic:staff_operations;topic:legal_accountability;era:2025;fulltext:longform;documents:1;hash:unique;independence:repeat-capped
178,952,2025-07-26T14:00:02.000Z,The Guardian,en,Trump bids to release Epstein grand jury files – what secrets might they hold?,-22.2,base:59;primary:political_intelligence;topic:maxwell;topic:political_intelligence;topic:properties;topic:staff_operations;topic:legal_accountability;era:2025;fulltext:longform;documents:3;original-signals:2;outlet:quality;hash:unique;independence:repeat-capped
179,6765,2025-08-06T02:33:22.397Z,NBC News,en,House committee subpoenas the Clintons and several top former DOJ officials for testimony about Jeffrey Epstein,-28.9,base:50;primary:properties;topic:maxwell;topic:political_intelligence;topic:properties;topic:staff_operations;topic:legal_accountability;era:2025;fulltext:substantive;documents:3;original-signals:1;hash:unique;independence:repeat-capped
180,5903,2025-12-20T22:47:00-0500,CBS News,en,"New Epstein files include photos, documents with redactions as DOJ releases initial trove of records",-29.5,base:70;primary:wexner_black;topic:banks_trusts_usvi;topic:wexner_black;topic:maxwell;topic:political_intelligence;topic:science_philanthropy;topic:properties;topic:staff_operations;topic:legal_accountability;era:2025;fulltext:longform;documents:7;hash:unique;independence:repeat-capped
181,813,2025-11-06T16:47:18.000Z,The Guardian,en,US House panel requests interview with Andrew in Jeffrey Epstein investigation,-32.3,base:56;primary:properties;topic:banks_trusts_usvi;topic:political_intelligence;topic:properties;topic:staff_operations;topic:legal_accountability;era:2025;fulltext:substantive;documents:2;original-signals:1;outlet:quality;hash:unique;independence:repeat-capped
182,7392,2025-08-23T02:13:55.385Z,NBC News,en,Justice Department releases Ghislaine Maxwell interview transcript and audio file,-38.0,base:53;primary:maxwell;topic:banks_trusts_usvi;topic:maxwell;topic:political_intelligence;topic:properties;topic:staff_operations;topic:legal_accountability;era:2025;fulltext:longform;documents:2;hash:unique;independence:repeat-capped
183,6132,2025-08-23T17:48:31-0400,CBS News,en,Ghislaine Maxwell's interview on Epstein case released by DOJ. See highlights and full transcript.,-40.6,base:66;primary:maxwell;topic:banks_trusts_usvi;topic:wexner_black;topic:maxwell;topic:political_intelligence;topic:science_philanthropy;topic:properties;topic:staff_operations;topic:legal_accountability;era:2025;fulltext:longform;documents:3;hash:unique;independence:repeat-capped
184,768,2025-11-17T20:44:57.000Z,The Guardian,en,"What are the Jeffrey Epstein files, and will more be released?",-41.7,base:62;primary:banks_trusts_usvi;topic:banks_trusts_usvi;topic:maxwell;topic:political_intelligence;topic:properties;topic:legal_accountability;era:2025;fulltext:longform;documents:4;outlet:quality;hash:unique;independence:repeat-capped
185,6905,2025-12-20T02:05:03.592Z,NBC News,en,Trove of Epstein files contains redacted investigative documents and new photos with powerful men,-47.3,base:56;primary:staff_operations;topic:wexner_black;topic:maxwell;topic:political_intelligence;topic:properties;topic:staff_operations;topic:legal_accountability;era:2025;fulltext:longform;documents:4;original-signals:1;hash:unique;independence:repeat-capped
186,5927,2025-12-12T19:42:04-0500,CBS News,en,"Trump, Clinton seen in new batch of Epstein photos released by House Democrats",-49.2,base:64;primary:properties;topic:banks_trusts_usvi;topic:wexner_black;topic:maxwell;topic:political_intelligence;topic:science_philanthropy;topic:properties;topic:staff_operations;topic:legal_accountability;era:2025;fulltext:longform;documents:2;hash:unique;independence:repeat-capped
187,653,2025-12-23T21:00:08.000Z,The Guardian,en,Demands for more details from US justice department after newly released Epstein files mention Donald Trump – as it happened,-52.8,base:55;primary:political_intelligence;topic:maxwell;topic:political_intelligence;topic:science_philanthropy;topic:staff_operations;topic:legal_accountability;era:2025;fulltext:longform;documents:2;outlet:quality;hash:unique;independence:repeat-capped
188,7911,2025-11-11T03:50:25.649Z,NBC News,en,"Senate passes bill to end the shutdown, sending it to the House; Ghislaine Maxwell plans to ask Trump for a commutation",-57.3,base:52;primary:political_intelligence;topic:maxwell;topic:political_intelligence;topic:science_philanthropy;topic:staff_operations;topic:legal_accountability;era:2025;fulltext:longform;documents:2;original-signals:1;hash:unique;independence:repeat-capped
189,5915,2025-12-19T16:00:00-0500,CBS News,en,"Epstein files totaling more than 60,000 pages have already been released this year. Here's what we've seen so far.",-60.3,base:66;primary:science_philanthropy;topic:banks_trusts_usvi;topic:wexner_black;topic:maxwell;topic:political_intelligence;topic:science_philanthropy;topic:properties;topic:legal_accountability;era:2025;fulltext:substantive;documents:5;hash:unique;independence:repeat-capped
190,6802,2025-07-24T22:20:41.799Z,NBC News,en,Can Ghislaine Maxwell be trusted to tell the truth about Jeffrey Epstein?,-65.7,base:48;primary:banks_trusts_usvi;topic:banks_trusts_usvi;topic:maxwell;topic:political_intelligence;topic:staff_operations;topic:legal_accountability;era:2025;fulltext:substantive;documents:3;hash:unique;independence:repeat-capped
191,991,2025-07-18T15:54:09.000Z,The Guardian,en,Trump on defensive over Epstein case following report he sent ‘bawdy’ letter,-66.9,base:52;primary:political_intelligence;topic:banks_trusts_usvi;topic:maxwell;topic:political_intelligence;topic:properties;topic:legal_accountability;era:2025;fulltext:substantive;documents:4;outlet:quality;hash:unique;independence:repeat-capped
192,6321,2025-02-27T10:24:00-0500,CBS News,en,Where is Jeffrey Epstein's island — and what reportedly happened on Little St. James?,-72.6,base:59;primary:properties;topic:banks_trusts_usvi;topic:wexner_black;topic:political_intelligence;topic:science_philanthropy;topic:properties;topic:staff_operations;topic:legal_accountability;era:2025;fulltext:substantive;documents:3;hash:unique;independence:repeat-capped
193,909,2025-08-25T21:57:30.000Z,The Guardian,en,Republican-led committee subpoenas documents from Jeffrey Epstein estate,-76.2,base:47;primary:banks_trusts_usvi;topic:banks_trusts_usvi;topic:maxwell;topic:political_intelligence;topic:staff_operations;topic:legal_accountability;era:2025;fulltext:substantive;documents:2;outlet:quality;hash:unique;independence:repeat-capped
194,7073,2025-07-19T02:31:34.871Z,NBC News,en,Trump sues Wall Street Journal and Rupert Murdoch over Epstein article,-78.4,base:50;primary:staff_operations;topic:maxwell;topic:political_intelligence;topic:staff_operations;topic:legal_accountability;era:2025;fulltext:substantive;documents:4;original-signals:1;hash:unique;independence:repeat-capped
195,6082,2025-09-22T07:06:00-0400,CBS News,en,The night Jeffrey Epstein claimed his cellmate tried to kill him,-81.4,base:62;primary:wexner_black;topic:wexner_black;topic:political_intelligence;topic:science_philanthropy;topic:staff_operations;era:2025;fulltext:longform;documents:3;original-signals:2;hash:unique;independence:repeat-capped
196,787,2025-11-14T17:10:53.000Z,The Guardian,en,"Jeffrey Epstein and Larry Summers’s exchanges depict relationship as confidants, emails reveal",-86.2,base:44;primary:science_philanthropy;topic:maxwell;topic:political_intelligence;topic:science_philanthropy;topic:legal_accountability;era:2025;fulltext:substantive;documents:1;original-signals:1;outlet:quality;hash:unique;independence:repeat-capped
197,6966,2025-09-03T11:06:25.620Z,NBC News,en,First batch of Epstein files released and Trump addresses the rumors surrounding his health: Morning Rundown,-87.9,base:49;primary:science_philanthropy;topic:maxwell;topic:political_intelligence;topic:science_philanthropy;topic:staff_operations;topic:legal_accountability;era:2025;fulltext:longform;documents:2;original-signals:1;hash:unique;independence:repeat-capped
198,6154,2025-08-05T22:00:00-0400,CBS News,en,Ghislaine Maxwell's attorneys argue against unsealing grand jury testimony,-90.4,base:60;primary:maxwell;topic:wexner_black;topic:maxwell;topic:political_intelligence;topic:science_philanthropy;topic:staff_operations;topic:legal_accountability;era:2025;fulltext:longform;documents:3;original-signals:1;hash:unique;independence:repeat-capped
199,1002,2025-07-17T02:02:39.000Z,The Guardian,en,Trump says FBI should investigate ‘the Jeffrey Epstein hoax’ as a criminal conspiracy against him – as it happened,-95.0,base:50;primary:staff_operations;topic:maxwell;topic:political_intelligence;topic:science_philanthropy;topic:staff_operations;topic:legal_accountability;era:2025;fulltext:longform;documents:1;outlet:quality;hash:unique;independence:repeat-capped
200,6764,2025-12-05T18:13:45.776Z,NBC News,en,OSU alumni hold photos of billionaire Les Wexner with Jeffrey Epstein while demanding testimony,-97.2,base:42;primary:wexner_black;topic:wexner_black;topic:maxwell;topic:political_intelligence;topic:legal_accountability;era:2025;fulltext:substantive;documents:3;hash:unique;independence:repeat-capped
