rank,item_id,published_at,publisher,language,title,score,rationale_tags
31,3786,2019-08-15T05:00:00+02:00,El Confidencial,es,¿Quién se quedará con la fortuna maldita de Jeffrey Epstein tras su presunto suicidio?,89.0,base:39;primary:staff_operations;topic:maxwell;topic:political_intelligence;topic:properties;topic:staff_operations;era:2019;fulltext:longform;hash:unique;independence:first-pass;language:non-en
32,4063,2019-08-13T07:00:00+00:00,Libération,fr,Sur les pistes françaises du système Epstein,88.4,base:39;primary:maxwell;topic:maxwell;topic:political_intelligence;era:2019;fulltext:longform;documents:2;outlet:quality;hash:unique;independence:first-pass;language:non-en
33,2156,2026-04-18T14:26:41+12:00,Kiwiblog,en,Trump and Epstein,88.3,base:58;primary:science_philanthropy;topic:wexner_black;topic:maxwell;topic:political_intelligence;topic:science_philanthropy;topic:properties;topic:staff_operations;topic:legal_accountability;era:2026_plus;fulltext:longform;documents:4;hash:unique;independence:first-pass
34,3500,2019-07-23T19:22:30.000Z,Clarín,es,"Lujo, sexo y poder: la oscura historia de Jeffrey Epstein, el magnate que iba a las fiestas de Donald Trump",87.4,base:36;primary:political_intelligence;topic:political_intelligence;topic:science_philanthropy;era:2019;fulltext:longform;outlet:quality;hash:unique;independence:first-pass;language:non-en
35,2158,2015-01-07,The Independent,en,"Prince Andrew sex allegations: Jeffrey Epstein's butler Alfredo Rodriguez, who stole tell-all 'black book', dies age 60",85.6,base:35;primary:staff_operations;topic:political_intelligence;topic:staff_operations;era:2015_2018;fulltext:substantive;outlet:quality;hash:unique;independence:first-pass
36,2285,2019-07-09T11:40:05+02:00,nu.nl,nl,Dit weten we over de misbruikzaak rond multimiljonair Jeffrey Epstein,85.3,base:36;primary:banks_trusts_usvi;topic:banks_trusts_usvi;topic:wexner_black;topic:political_intelligence;era:2019;fulltext:longform;hash:unique;independence:first-pass;language:non-en
37,1816,2006-07-24,Palm Beach Post,en,"Billionaire solicited prostitutes 3 times, indictment says",84.8,base:75;primary:science_philanthropy;topic:banks_trusts_usvi;topic:political_intelligence;topic:science_philanthropy;era:pre_2015;fulltext:substantive;documents:3;historical:curated;outlet:investigative;hash:unique;independence:repeat-capped
38,2060,2026-05-17T11:00:00-00:00,Fortune,en,‘The Butterfly Trust’: How Deutsche Bank maintained Jeffrey Epstein as a client until he was arrested,84.3,base:51;primary:banks_trusts_usvi;topic:banks_trusts_usvi;topic:maxwell;topic:political_intelligence;topic:properties;topic:staff_operations;topic:legal_accountability;era:2026_plus;fulltext:longform;documents:2;hash:unique;independence:first-pass
39,1461,2019-08-12T14:00:05.000Z,The Guardian,en,Ghislaine Maxwell: the woman accused of helping Jeffrey Epstein groom girls,84.0,base:68;primary:maxwell;topic:wexner_black;topic:maxwell;topic:political_intelligence;topic:properties;topic:staff_operations;topic:legal_accountability;era:2019;fulltext:substantive;documents:3;outlet:quality;hash:unique;independence:repeat-capped
40,8102,2015-01-12T16:07:56.000Z,NBC News,en,"'The Last Word with Lawrence O'Donnell' for Thursday, January 8th, 2015",83.2,base:62;primary:banks_trusts_usvi;topic:banks_trusts_usvi;topic:political_intelligence;topic:science_philanthropy;topic:legal_accountability;era:2015_2018;fulltext:longform;documents:4;hash:unique;independence:repeat-capped
