recipient_uei,recipient_name,n_awards,window_obligations,ceiling_sum_no_double_count,not_competed_window_obligations,not_competed_share
NH3HNLDKWHK1,GULF SOUTH RESEARCH CORP,20,58772893.15,62779225.24,0,0.0
NPJ9GV7K4CL1,"NOBLIS, INC.",14,58737341.63,294666258.20,-0.04,-0.0
CC2RYN15JUR8,"SIX MILE NIKA JV, LLC",5,58473152.76,159922133.39,0,0.0
HCBJCK2G9EM1,DV UNITED LLC,4,57122653.68,195562130.36,0,0.0
E3D7U1KNNJC8,"SCIENCE AND ENGINEERING SERVICES, LLC",3,57036452.16,260820331.87,0,0.0
HYGLK2BNFKB3,ROLLS-ROYCE SOLUTIONS AMERICA INC,50,56837180.93,331330598.74,49718423.69,0.8748
KVFRFJC7S6C8,COUVILLION GROUP LLC,3,54814726.70,119714726.70,54814726.70,1.0
C5KZP6XF5J98,"MONKTON, INC.",10,54777925.50,206688807.60,0,0.0
CSVGREMTK6W9,"THE ARORA GROUP, INC.",3,54699815.44,2621976226.00,0,0.0
P4XNSMKPNGM5,PRICE MODERN LLC,39,52484150.95,100589074.84,-256.00,-0.0
NYNMZ3DYBKJ5,ATLANTA GAS LIGHT COMPANY,1,52115714.00,52115714.00,52115714.00,1.0
JNKQFMHL15F3,"LIFECARE, INC",2,51976490.00,124629428.00,0,0.0
VY3HMUNVRJK9,VERNADERO GROUP INC,10,51773380.39,51773380.39,0,0.0
JXGZBLGBA996,"T47 INTERNATIONAL, INC.",8,51289276.69,150603583.34,7514830.95,0.1465
WCMJHCRB1UH3,AVER LLC,17,50437166.11,209324575.54,0,0.0
T4RSAYRJ1LJ5,"GLOBAL SYSTEMS TECHNOLOGIES, LLC",23,49224204.20,61064352.64,0,0.0
RQ8JN52L3244,THOR SOLUTIONS LLC,2,49064823.56,109893199.50,0,0.0
X4MZYGMNUAE7,IDEMIA IDENTITY & SECURITY USA LLC,30,48740957.10,2353333323.47,7518051.20,0.1542
EFKMRSEAE2K3,DIVERSIFIED PROTECTION CORP,19,48602768.20,3337211171.73,0,0.0
DK3RU6254EL6,"TAURUS, LLC",4,47368688.78,54769968.78,0,0.0
DFHNDJLYFD32,ASTROPHYSICS INC,8,47298175.99,489029326.00,0,0.0
NWH9FNLK5KK1,TATITLEK FEDERAL SERVICES LLC,23,47263706.46,321670348.65,-900634.70,-0.0191
E1NDB4N3AJB5,SCIOLEX CORPORATION,2,46623790.26,99526155.54,17820066.69,0.3822
HAFSH1F8QB34,"ARDENT GROUP, LLC",3,46602284.22,46602284.22,46602284.22,1.0
HUMHZHAJY9D1,"INTER-OP.NET, INC.",10,46518701.60,154825373.92,470694.40,0.0101
