solicitation_id,n_awards,n_distinct_awardees,modal_offers_received,offers_values_seen,everyone_who_offered_won,awardees_exceed_offers,shared_ceiling_suspected,shared_or_max_ceiling,family_ceiling_sum,family_window_obligations_members,child_task_order_window_obligations,any_idv,components,sample_recipients
70FB8024R00000030,3,3,8,8x3,0,0,1,99000000.00,297000000.00,0,544402.0,1,Federal Emergency Management Agency,"DAD'S CAMPER OUTLET, LLC;DADS CAMPER OUTLET LAMAR LLC;GSH OF ALABAMA LLC"
70RSAT23R00000009,3,3,4,4x3,0,0,1,95786411.91,287359235.73,0,20394557.11,1,Office of Procurement Operations,"APPLIED RESEARCH ASSOCIATES, INC.;BATTELLE MEMORIAL INSTITUTE;SIGNATURE SCIENCE LLC"
70FA6024R00000012,3,3,4,4x2;5x1,0,0,1,93300000.00,279900000.00,50000.00,1539584.97,1,Federal Emergency Management Agency,ALLIANCE FOR RESILIENCE & MITIGATION;CDM FEDERAL PROGRAMS CORPORATION;WSP USA ENVIRONMENT & INFRASTRUCTURE INC.
70FA2020R00000001,3,3,1,1x1;2x1;3x1,0,1,0,99896731.00,262371731.00,-25000.00,-4684761.78,1,Federal Emergency Management Agency,ALLIANCE FOR RESILIENCE & MITIGATION;CDM FEDERAL PROGRAMS CORPORATION;WSP USA ENVIRONMENT & INFRASTRUCTURE INC.
70FBR924R00000009,2,2,5,5x1,0,0,0,226554504.00,237762976.19,7040139.02,0,1,Federal Emergency Management Agency,C MARTIN CO INC;CH2M HILL - CDM PA-TAC RECOVERY SERVICES
70FBTX25Q00000002,4,4,,,0,0,0,69006541.63,236938225.31,146384725.31,0,0,Federal Emergency Management Agency,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.;ITCON SERVICES LLC;MAXIMUS FEDERAL SERVICES, INC.;TTEC GOVERNMENT SOLUTIONS LLC"
70Z02321RPGC00100,4,3,12,12x2;4x1,0,0,0,144632999.79,236356133.97,226644.13,68059907.27,1,U.S. Coast Guard,"AHTNA PROFESSIONAL SERVICES, INC.;CREDENCE DYNAMO SOLUTIONS LLC;TATITLEK FEDERAL SERVICES LLC"
70SBUR24Q00000105,2,2,21,21x2,0,0,0,117671148.88,226200775.76,31680411.36,0,0,U.S. Citizenship and Immigration Services,"INTELLIBRIDGE, LLC;STEAMPUNK, INC."
70FB7023R00000006,3,3,5,5x3,0,0,0,108937868.66,212645669.43,0,1564339.28,1,Federal Emergency Management Agency,"G HOLMES ENTERPRISE, INC;RAY LAND, INC.;RCG OF NORTH CAROLINA, LLC"
70SBUR23Q00000009,4,4,16,16x1;14x1;11x1;9x1,0,0,0,71253337.28,210638487.35,30129471.96,0,0,U.S. Citizenship and Immigration Services,"BRAVIUM CONSULTING INC.;CAPGEMINI GOVERNMENT SOLUTIONS LLC;HESFP, LLC;NODE.DIGITAL LLC"
70Z02326Q91000001,3,2,7,7x2;2x1,0,0,0,95000000.00,207395031.36,0,0,1,U.S. Coast Guard,"ACQUISITION EXPERTS, LLC;OCT CONSULTING LLC"
70SBUR22R00000001,2,2,11,11x1;13x1,0,0,0,105938134.92,205684248.84,52389218.81,0,0,U.S. Citizenship and Immigration Services,"EKAGRA PARTNERS, LLC;INADEV CORPORATION"
70Z04719SOCEANAE,5,5,9,9x5,0,0,1,40000000.00,200000000.00,0,15011853.09,1,U.S. Coast Guard,"APPLEDORE MARINE ENGINEERING, LLC;CHILDS ENGINEERING CORPORATION;LLOYD COLLINS JV;REID MIDDLETON, INC.;THE JOHNSON-MCADAMS FIRM, P.A."
70Z08725RJUNEAE01,4,4,5,5x4,0,0,1,45000000.00,180000000.00,0,20000.0,1,U.S. Coast Guard,"BEZEK-DURST-SEISER, INC.;CRW ENGINEERING GROUP, INC.;ECH ARCHITECTURE PS;NORTHWIND ARCHITECTS LLC"
70RFP323RE3000004,3,2,7,7x1,0,0,0,148312560.15,173851798.82,5110935.55,19788685.62,1,Office of Procurement Operations,"CDA INCORPORATED;UNIVERSAL PROTECTION SERVICE, LIMITED PARTNERSHIP"
70Z04023R62485B00,5,5,12,12x5,0,0,1,34668069.69,173340348.45,0,4253309.8,1,U.S. Coast Guard,"ATLANTIC MARINE, LLC;BOWHEAD MARINE SUPPORT SERVICES, LLC;CUTTER MARINA, LLC;INFLATABLE BOAT SPECIALISTS, LLC;THE WASHINGTON MARINA COMPANY"
