holder_id,business_name,name_variants,dbas,license_numbers,source_row_ids,scope_classes,has_core_alcohol_license,name_mode_review_reasons
BH-e137ee6c0097768a,"545 Washington, LLC","[""545 Washington, LLC""]","[""SEVEN Restaurant & Cocktail Lounge""]","[""LB-99454""]","[""R02203""]","[""alcohol_license""]",True,[]
BH-d57b1658f13399d0,563 BOYLSTON INC.,"[""563 BOYLSTON INC.""]","[""WHISKEY & WINE BACK BAY""]","[""LB-101862""]","[""R02412""]","[""alcohol_license""]",True,[]
BH-ecbc7a2b1f8d7a40,"567 Washington St, LLC","[""567 Washington St, LLC""]","[""SubRosa and Humaari""]","[""LB-577208""]","[""R00225""]","[""alcohol_license""]",True,[]
BH-4fe54c4870789086,"569 TREMONT, INC.","[""569 TREMONT, INC.""]","[""AQUITAINE""]","[""LB-99423""]","[""R02391""]","[""alcohol_license""]",True,[]
BH-8bdde85685c6c696,"571 TREMONT, LLC","[""571 TREMONT, LLC""]",[],"[""LB-99009""]","[""R02089""]","[""alcohol_license""]",True,[]
BH-b2d6dd9c9eb0a959,"584 TREMONT, INC.","[""584 TREMONT, INC.""]","[""Metropolis Cafe""]","[""LB-134078""]","[""R01221""]","[""alcohol_license""]",True,[]
BH-1477b2869d37d57b,60-70 Cross Street Corp.,"[""60-70 Cross Street Corp.""]",[],"[""LB-99068""]","[""R02464""]","[""alcohol_license""]",True,[]
BH-a9a653d7cb9af287,"605GF, INC.","[""605GF, INC.""]","[""GRASS FED""]","[""LB-99826""]","[""R02577""]","[""alcohol_license""]",True,[]
BH-6d6875f9263ea126,"61 Brookline Restaurant, LLC","[""61 Brookline Restaurant, LLC""]","[""Loco Taqueria & Oyster Bar""]","[""LB-99217""]","[""R02557""]","[""alcohol_license""]",True,[]
BH-f03c13101110d3b6,636 BBQ Group Inc.,"[""636 BBQ Group Inc.""]","[""bb.q Chicken""]","[""LB-99577""]","[""R02897""]","[""alcohol_license""]",True,[]
BH-1cb45f810aef2b78,"667 EAST BROADWAY, INC.","[""667 EAST BROADWAY, INC.""]","[""THE PARAMOUNT""]","[""LB-99576""]","[""R02248""]","[""alcohol_license""]",True,[]
BH-f6d710684c8f1cac,"669 CENTRE, LLC","[""669 CENTRE, LLC""]","[""Tonino""]","[""LB-99538""]","[""R02526""]","[""alcohol_license""]",True,[]
BH-0026833e81997c3e,711 CENTRE LLC,"[""711 CENTRE LLC""]","[""CASA VERDE""]","[""LB-311416""]","[""R01104""]","[""alcohol_license""]",True,[]
BH-dd618806951b8efe,"724 HUNTINGTON AVENUE, INC.","[""724 HUNTINGTON AVENUE, INC.""]","[""MISSION BAR & GRILLE""]","[""LB-99105""]","[""R02245""]","[""alcohol_license""]",True,[]
BH-44776923d43af6cf,732 Brigham Inc.,"[""732 Brigham Inc.""]","[""Brigham Liquors""]","[""LB-101895""]","[""R02692""]","[""alcohol_license""]",True,[]
BH-071261091c1cd0ee,740 Blue Hill Inc.,"[""740 Blue Hill Inc.""]","[""Brother's Wine and Spirits""]","[""LB-101857""]","[""R01996""]","[""alcohol_license""]",True,[]
BH-e2c0eed140c274de,"75 ARLINGTON STREET, INC.","[""75 ARLINGTON STREET, INC.""]","[""DAVIO'S RESTAURANT""]","[""LB-99337""]","[""R02031""]","[""alcohol_license""]",True,[]
BH-1d89cc6c002d8c0a,85 Harvard Ave LLC,"[""85 Harvard Ave LLC""]","[""Tofu Story""]","[""LB-581522""]","[""R00048""]","[""alcohol_license""]",True,[]
BH-b80453183295310a,"86 Mass Ave Wild Duck, Inc.","[""86 Mass Ave Wild Duck, Inc.""]","[""Wild Duck""]","[""LB-447986""]","[""R00818""]","[""alcohol_license""]",True,[]
BH-fdee5fc3bc9e49c3,"861 CORPORATION, INC.","[""861 CORPORATION, INC.""]","[""AL'S BOTTLED LIQUORS""]","[""LB-101942""]","[""R01971""]","[""alcohol_license""]",True,[]
BH-70afdafddc52667e,"888 Boylston Food, LLC","[""888 Boylston Food, LLC""]","[""DEL FRISCO'S DOUBLE EAGLE STEAKHOUSE""]","[""LB-99425""]","[""R02514""]","[""alcohol_license""]",True,[]
BH-f788674e0465d1ea,955 LLC,"[""955 LLC""]","[""DILLON'S""]","[""LB-98953""]","[""R02451""]","[""alcohol_license""]",True,[]
BH-9fc0e82bb6917749,"99 RESTAURANTS OF BOSTON, LLC","[""99 RESTAURANTS OF BOSTON, LLC""]","[""99 RESTAURANT & PUB""]","[""LB-98896""]","[""R01991""]","[""alcohol_license""]",True,[]
BH-c7340d1d2da2c818,A & C NEWBURY STREET,"[""A & C NEWBURY STREET""]","[""Puro Ceviche Bar""]","[""LB-99836""]","[""R02682""]","[""alcohol_license""]",True,"[""organization_form_not_explicit_person_or_trade_name_review""]"
BH-2460221ea1d23474,A AND A LIQUORS INC.,"[""A AND A LIQUORS INC.""]","[""DAY SQUARE LIQUORS""]","[""LB-101848""]","[""R03029""]","[""alcohol_license""]",True,[]
BH-5df915cc043f6e86,"A&G Liquor Store, LLC","[""A&G Liquor Store, LLC""]",[],"[""LB-593697""]","[""R00323""]","[""alcohol_license""]",True,[]
BH-5744c115b01e65f0,"A&R Variety Store, Inc.","[""A&R Variety Store, Inc.""]","[""Roslindale Variety Store""]","[""LB-465562""]","[""R00767""]","[""alcohol_license""]",True,[]
BH-5defe29a7bc3710b,"A.T.G., INC.","[""A.T.G., INC.""]","[""CLERYS""]","[""LB-98998""]","[""R02457""]","[""alcohol_license""]",True,[]
BH-fcc99b39eda54717,"AA & AG, Inc.","[""AA & AG INC."", ""AA & AG, Inc.""]","[""SANCHEZ MARKET"", ""The Corner Restaurant""]","[""LB-157969"", ""LB-541567""]","[""R00585"", ""R01212""]","[""alcohol_license""]",True,[]
BH-54d957f0f67d6232,AAA Restaurant LLC,"[""AAA Restaurant LLC""]","[""AAA Restaurant""]","[""LB-592817""]","[""R00236"", ""R00237""]","[""alcohol_license""]",True,[]
BH-82c37c4009654a22,"ACAPULCO MEXICAN RESTAURANT, INC.","[""ACAPULCO MEXICAN RESTAURANT, INC.""]","[""ACAPULCO MEXICAN RESTAURANT""]","[""LB-99053""]","[""R02160""]","[""alcohol_license""]",True,[]
BH-119ea86b0ae9af6f,"ADARE, INC.","[""ADARE, INC.""]","[""NED DEVINE'S""]","[""LB-99128""]","[""R02289""]","[""alcohol_license""]",True,[]
BH-9a21ed5d54323b75,"ADVENTURE INVESTMENTS BOSTON, LLC","[""ADVENTURE INVESTMENTS BOSTON, LLC""]","[""FIRE & ICE""]","[""LB-99364""]","[""R02909""]","[""alcohol_license""]",True,[]
BH-f2cf37a098484a2b,"AHF Speedway Holdings, LLC","[""AHF Speedway Holdings, LLC""]","[""Charles River Speedway""]","[""LB-464491""]","[""R00775""]","[""alcohol_license""]",True,[]
