holder_id,business_name,holder_key,license_numbers,dbas,scope_classes,query,current_state,lapsed_state
BH-7707fd44dc99d61e,"AMERICAN AIRLINES, INC.",AMERICANAIRLINESINC,"[""LB-98819""]","[""ADMIRALS CLUB""]","[""alcohol_license""]",AMERICAN AIRLINES,pending,pending
BH-ce1f7e4a07d4b69f,American Craft Brewery LLC,AMERICANCRAFTBREWERYLLC,"[""LB-304109"", ""LB-418981""]","[""Samuel Adams Tap Room"", ""The Boston Beer Company""]","[""alcohol_license""]",American Craft Brewery,pending,pending
BH-e865a44121f23b8e,American Multi-Cinema,AMERICANMULTICINEMA,"[""LB-349572""]","[""AMC""]","[""alcohol_license""]",American Multi-Cinema,pending,pending
BH-fb29dbbb3b0a0f65,"AMERICAN MULTI-CINEMA, INC.",AMERICANMULTICINEMAINC,"[""LB-99166"", ""LB-99352""]","[""AMC THEATRES BOSTON COMMON 19"", ""AMC Theaters""]","[""alcohol_license""]",AMERICAN MULTI-CINEMA,pending,pending
BH-22b02de050ce4e47,"American Repertory Theatre Company, Inc.",AMERICANREPERTORYTHEATRECOMPANYINC,"[""LB-599561""]","[""American Repertory Theatre""]","[""alcohol_license""]",American Repertory Theatre Company,pending,pending
BH-0054256cad2e3ab0,AMF Bowling Centers Inc.,AMFBOWLINGCENTERSINC,"[""LB-98964""]","[""JILLIAN'S BILLIARD'S CLUB""]","[""alcohol_license""]",AMF Bowling Centers,pending,pending
BH-c72192e2aaeae770,ANCHOVIES ACQUISITION LIMITED PARTNERSHIP,ANCHOVIESACQUISITIONLIMITEDPARTNERSHIP,"[""LB-99000""]","[""ANCHOVIES""]","[""alcohol_license""]",ANCHOVIES ACQUISITION LIMITED PARTNERSHIP,pending,pending
BH-9696c06f51eee112,"ANDREW SQUARE LIQUOR, CORP.",ANDREWSQUARELIQUORCORP,"[""LB-101968""]","[""ANDREW SQUARE LIQUORS""]","[""alcohol_license""]",ANDREW SQUARE LIQUOR,pending,pending
BH-4597829aedf73a08,"ANFRATTA, LLC",ANFRATTALLC,"[""LB-99341""]","[""WARD EIGHT""]","[""alcohol_license""]",ANFRATTA,pending,pending
BH-66499697c3508e63,"ANGELA'S CAFE GROUP, INC.",ANGELASCAFEGROUPINC,"[""LB-99808""]","[""ANGELA'S CAFE""]","[""alcohol_license""]",ANGELA'S CAFE GROUP,pending,pending
BH-eee5e8e82b4c0af8,"Angoori, Inc.",ANGOORIINC,"[""LB-593663""]","[""Allston Market""]","[""alcohol_license""]",Angoori,pending,pending
BH-b35961a53428d9af,Anjana Corporation,ANJANACORPORATION,"[""LB-447985""]","[""Neighborhood Convenience""]","[""alcohol_license""]",Anjana,pending,pending
BH-2f4c2966a086028a,ANTHONY OLIVIERO & LUIGI SODANO,ANTHONYOLIVIEROLUIGISODANO,"[""LB-99595""]","[""II NIDO""]","[""alcohol_license""]",ANTHONY OLIVIERO & LUIGI SODANO,pending,pending
BH-dd8047884d4eb245,ANTHONY PERKINS,ANTHONYPERKINS,"[""LB-102042""]","[""THE CORNER STORE OF B.H.A.""]","[""alcohol_license""]",ANTHONY PERKINS,pending,pending
BH-f6d5c4fbdabd6c5f,Anthony's Market Inc.,ANTHONYSMARKETINC,"[""LB-460882""]","[""Anthony's Market""]","[""alcohol_license""]",Anthony's Market,pending,pending
BH-6eb901f1aa6ae511,"Anthony's Restaurant Group, LLC",ANTHONYSRESTAURANTGROUPLLC,"[""LB-134966""]","[""Antonio's Bacaro""]","[""alcohol_license""]",Anthony's Restaurant Group,pending,pending
