license_num,business_name,dba_name,license_type,holder_key,sample_rank
LB-98948,"Third Door Hospitality, LLC",,CV7 All Alc.,THIRDDOORHOSPITALITYLLC,7c258eb24314d8386e3ca91d0eec37338d648a7c95c0893990577b4c2dfe2cca
LB-460883,"Food Fiesta Group, LLC",Casa Bonita Mexican Grill,CV7 All Alc.,FOODFIESTAGROUPLLC,7cdafc4bfa911eaac3b88b9f4de310e4f0977990156c8ee2bd9fc9b82552c366
LB-99378,"CALIFORNIA PIZZA KITCHEN,INC.",CALIFORNIA PIZZA KITCHEN,CV7 All Alc.,CALIFORNIAPIZZAKITCHENINC,7ce8309e88539066f513cd9165c6c037788f76e74c5b9c2280eb9a4dfb3bd335
LB-99154,"IPSWICH ENTERTAINMENT, INC.",Loretta's Last Call,CV7 All Alc.,IPSWICHENTERTAINMENTINC,7d6a2ad5f20445f812a712f5edd21d61302ddfbda01770f5f3f3142f8c604080
LB-99129,"CHLN, INC.",THE CHART HOUSE,CV7 All Alc.,CHLNINC,7d7abd01ca1221a14a33035c07bbc2549be4b38c712e353e562417e91a836a2b
LB-99097,Boston BMA LLC,Marcelino's Boutique Bar,CV7 All Alc.,BOSTONBMALLC,7d91bd59a9e8da1a6945b6e80118f7404092d7ad453b38ffbfd532a60fcf5e36
LB-99132,"ORIGINAL STOCKYARD, LLC",STOCKYARD,CV7 All Alc.,ORIGINALSTOCKYARDLLC,7df9b26a7ca77de4dd924d02b33c9f7ddeacaffd0c9618467165b15f61faa84b
LB-128814,"255 NEWBURY, INC.",“La Neta” and “Sabina”,CV7 All Alc.,255NEWBURYINC,7e1c1151eee608088157c0394df8bd8ac73c94640d09f9e07e2bc5011333e098
LB-99269,"RESTAURANTE CESARIA, INC.",,CV7 All Alc.,RESTAURANTECESARIAINC,802127ee8ad7e6218a81934a2bebdb6f17b964ea2bfa214c25c970b79176d021
LB-99347,THE J LLC,Hunter’s,CV7 All Alc.,THEJLLC,804a8b89b65a44d156134e7004a42fff8a0d27d59cb08e2cf48797874a280f9c
LB-99382,"TOW PIER 6 RESTAURANT GROUP, LLC.",PIER 6,CV7 All Alc.,TOWPIER6RESTAURANTGROUPLLC,80e0277deacdc22a7dd1c11faa7b623c4befa23166bee4e73951f2dbfafccb54
LB-98952,"Dani’s Queer Bar, LLC",Dani’s Queer Bar,CV7 All Alc.,DANISQUEERBARLLC,81d3f324393731fb65d59480bb5786860c77212e4b84d2a0d0d49655d43a3ebc
LB-99409,EC RESTAURANTS (BOSTON) CORP.,ELEPHANT & CASTLE,CV7 All Alc.,ECRESTAURANTSBOSTONCORP,823e663e3d8d2f6845f6778e1ddc9bcb7d1f20e67a025e7263c3218654fe84cc
LB-99069,"THE OCEANAIRE RESTAURANT COMPANY, INC.",THE OCEANAIRE SEAFOOD ROOM,CV7 All Alc.,THEOCEANAIRERESTAURANTCOMPANYINC,82c0dd2a3541bb94bb5074476780994ec8dddd6e6116045101f6e0ea8714c7da
LB-98969,"SPORTER'S CAFE, INC.",THE HILL,CV7 All Alc.,SPORTERSCAFEINC,82c35302e1f895ce0518faa24c7234ea008555bf14dea71f7d2e4fd70845bb20
LB-99168,"Swingers Bos, LLC",Swingers,CV7 All Alc.,SWINGERSBOSLLC,82d9120504fcc0a472a02a4758d114f68c3109ff211217c961e0b0141b1e2793
LB-99193,JOHNNIE'S ON THE SIDE LLC,West End Johnnie's,CV7 All Alc.,JOHNNIESONTHESIDELLC,839b815940e12c5a08edb8432836ebc409df3a05dbb44f5c5de72c1ec2064ac1
LB-99110,"AZUMI, LLC",ZUMA,CV7 All Alc.,AZUMILLC,840cbd323327016ed06669daacd902b6102c577274d1d35010a10998ec66096f
LB-99254,"Two Greeks and a Persian, LLC",Kartel,CV7 All Alc.,TWOGREEKSANDAPERSIANLLC,84aa8ba080bf7e6f86f6e6fff9f9c9464edb180c2e69e1334c9a1542843925ef
LB-98927,"Hawksmoor Boston, Inc.",Hawksmoor Boston,CV7 All Alc.,HAWKSMOORBOSTONINC,84e81034074dc0a42e1ae6a063d8ddc33d6d792abe71cd07451fb2d23055a1de
LB-99073,ASSOCIATES AND LEISURE ACTIVITIES LLC,LIVE AT THE WILBUR,CV7 All Alc.,ASSOCIATESANDLEISUREACTIVITIESLLC,854d5f6dd42a052474bff495fb350a5d7e826e30fe04365aa1ab20a85f612c31
LB-101576,FOGAO GAUCHO LLC,,CV7 All Alc.,FOGAOGAUCHOLLC,8584bf0936ae3d6b5d8feb0c08190f631e742d939b9a307263d18e455dae49cf
LB-99200,"PAIGE HOSPITALITY, INC.",Hava Lounge,CV7 All Alc.,PAIGEHOSPITALITYINC,878330483700e4524dcc720d25412d21f163acdeafb594b4f14f1c5d353b6d5a
LB-99036,"HYNES FINE DINING, LLC",ROCHAMBEAU,CV7 All Alc.,HYNESFINEDININGLLC,87b0e8577d5a6f1a3e9fca203a7c1d1ed39a5367dc4a3b79ea7d5f40007eabc4
LB-99240,"STERLING SUFFOLK RACECOURSE, LLC",SUFFOLK DOWNS,CV7 All Alc.,STERLINGSUFFOLKRACECOURSELLC,8823640c48e6e9e3782e3b33531dcea95b876349482308dfa3de6c61370e8cf5
LB-99004,"Good Time Hospitality, LLC",The Flamingo,CV7 All Alc.,GOODTIMEHOSPITALITYLLC,8a23b5f3f0793486accccdfdb8aa599ddb8fd7191f8c51397201f842e7392a04
LB-457700,Mello Vibez Restaurant LLC,,CV7 All Alc.,MELLOVIBEZRESTAURANTLLC,8a8e4e7ebb078675b2f4e61ef928ba3a5b2592b615f88fdae5753477a85619bf
LB-98920,"HLC GROUP ENTERPRISES, LLC",Douzo,CV7 All Alc.,HLCGROUPENTERPRISESLLC,8aca28f93627c111de976b6997acbffeb9b89036abd8273f12dea823b9f22e8f
LB-99353,BCP BEAT TRS LLC,Morrissey Hall,CV7 All Alc.,BCPBEATTRSLLC,8adc786a777626fc7eeb2b900e3da1676bbd29857d7fcd254c62e7a6b69f8be8
LB-99445,"MORTON'S OF CHICAGO/BOSTON SEAPORT, LLC",MORTON'S STEAKHOUSE,CV7 All Alc.,MORTONSOFCHICAGOBOSTONSEAPORTLLC,8b9fb8120ed0130251b49a0723df66eb51382c4fd97b5d95d191408312350241
LB-99100,"K.M.F. HOSPITALITY, INC.",Central Wharf Company,CV7 All Alc.,KMFHOSPITALITYINC,8c5bcfb8f370515ee6752173a7ca860a965343863c4ef2c2af97cc30ee1360d0
LB-99043,"Cool Hand Luke, Inc.",The Bowery,CV7 All Alc.,COOLHANDLUKEINC,8c7850d51c7368d90c73d33b43ebff2886f32f6001c0ddb8fc4b52d1cd2b9f06
LB-99237,BERKELEY PLACE RESTAURANT LIMITED PARTNERSHIP,GRILLE 23 RESTAURANT & BAR,CV7 All Alc.,BERKELEYPLACERESTAURANTLIMITEDPARTNERSHIP,8cb2d27d95b1508de70acb2e6e5a719353b8a5dc674066df6b8b276cf2973efb
LB-99098,"Patina BOS, LLC.",Banners Kitchen & Tap and Hub Hall featuring Momosan Ramen by Morimoto,CV7 All Alc.,PATINABOSLLC,8cc684bb2c1b217e59c8901877b7483f26e9198f83600594d8d9cc661724f022
LB-98980,"LAGRANGE LOUNGE AND RESTAURANT, INC.",CORRIB PUB & RESTAURANT,CV7 All Alc.,LAGRANGELOUNGEANDRESTAURANTINC,8cf63edbf56f2785a343c68329640c72f94fc3d97f855da63024f081109f4e2b
LB-99446,"Traveler Street Partners, Inc.",,CV7 All Alc.,TRAVELERSTREETPARTNERSINC,8d279660bf887242ba875515584fe7ca60336359ed9cd1dc4395be534b6e57e4
LB-99131,EIGHTY FIVE MAIN STREET LLC,Town Taqueria,CV7 All Alc.,EIGHTYFIVEMAINSTREETLLC,8e091de9472d45cac3dcaf0bb2c4c6cd50f4e942e932bc2dbd65183056fa6765
LB-98905,"GW Eatery, LLC",Tradesman,CV7 All Alc.,GWEATERYLLC,8e3676fde66b27b583916f9e8c924b7f0777e6838e8b19cd7b6b21e97f9f944a
LB-98994,"BARRY'S CORNER PROPERTY, LLC",,CV7 All Alc.,BARRYSCORNERPROPERTYLLC,8e69ba60145c7a63ff00c3343fd2044c9b9b25b6c217e199ffb2fe3c95aba625
LB-99075,"MOONSHINE KITCHEN, LLC",MOONSHINE 152,CV7 All Alc.,MOONSHINEKITCHENLLC,8f9bc8d4da6d2e5d8b657d511c2d1d9e3ac7564eb7becb8254d5f9cd5f0cb4c9
LB-99442,"RAGLIN ROAD, INC.",THE MERCHANT,CV7 All Alc.,RAGLINROADINC,90e8ed33ac55dd16f0052fcfeaf7bd08f3a6b1ec4593f80751ae45c78afe6159
LB-99438,"BOSTON CULINARY GROUP, INC.",BOSTON OPERA HOUSE,CV7 All Alc.,BOSTONCULINARYGROUPINC,918b6114660b1e0adeeaf022c1151b38b5f1173cae081b5aefc6cf837e9750de
LB-99267,"Boston Amici Group, Inc.",PAZZA ON PORTER,CV7 All Alc.,BOSTONAMICIGROUPINC,918d2639ff5817f05099ec6b8715b9bf39a97203772afcaf35a8b640bed303cf
LB-99009,"571 TREMONT, LLC",,CV7 All Alc.,571TREMONTLLC,919a0307722e3cd3ce0d75b8677c414a1389d3b559ad85745ecf0e49f5b76cb2
LB-99211,"SAVIN RESTAURANT, LLC",Savin Hill Bar & Kitchen and Ghostpepper Taqueria,CV7 All Alc.,SAVINRESTAURANTLLC,91c5e299fc4d685c3360dda2c15511fdc9412897c2b9b26a3d4883799a069ef2
LB-99016,"DARTCOM, LLC",Buttermilk & Bourbon,CV7 All Alc.,DARTCOMLLC,926c81a683dcdcef41e2c1290d865fa5f9416d1bc7fbe1e608c2ed79b90275db
LB-99403,"DONAN, INC.",ARTU,CV7 All Alc.,DONANINC,935536c73a89deb0962d3b4445d8f37f45d088f909579d3dab5664ebea45edca
