award_id,generated_award_id,modification,action_date,transaction_amount,recipient_name,recipient_uei,award_type,awarding_subagency,naics_code,naics_description,psc_code,psc_description,description
70CDCR24FC0000005,CONT_AWD_70CDCR24FC0000005_7012_70CDCR18A00000007_7012,P00002,2025-01-14,38500.0,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,BPA CALL,U.S. Immigration and Customs Enforcement,922140,CORRECTIONAL INSTITUTIONS,S206,HOUSEKEEPING- GUARD,OBLIGATE FUNDING FOR BED DAYS
70CDCR25FR0000005,CONT_AWD_70CDCR25FR0000005_7012_70CDCR22D00000001_7012,P00003,2025-01-17,9722800.0,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,DELIVERY ORDER,U.S. Immigration and Customs Enforcement,561210,FACILITIES SUPPORT SERVICES,S206,HOUSEKEEPING- GUARD,"DETENTION, TRANSPORTATION, AND MEDICAL SERVICES FOR DENVER (AURORA) CONTRACT DETENTION FACILITY"
70CDCR24FC0000004,CONT_AWD_70CDCR24FC0000004_7012_HSCEDM14A00001_7012,P00007,2025-01-24,878268.0,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,BPA CALL,U.S. Immigration and Customs Enforcement,922140,CORRECTIONAL INSTITUTIONS,S206,HOUSEKEEPING- GUARD,RIO GRANDE DETENTION CENTER FUNDING MOD
70CDCR25FR0000004,CONT_AWD_70CDCR25FR0000004_7012_HSCEDM15D00015_7012,P00001,2025-01-24,11628517.45,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,DELIVERY ORDER,U.S. Immigration and Customs Enforcement,561210,FACILITIES SUPPORT SERVICES,S206,HOUSEKEEPING- GUARD,"DETENTION AND TRANSPORTATION SERVICES AT TACOMA, WA FOR SEATTLE AOR"
70CDCR24FR0000038,CONT_AWD_70CDCR24FR0000038_7012_70CDCR20D00000012_7012,P00004,2025-01-27,5109488.54,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,DELIVERY ORDER,U.S. Immigration and Customs Enforcement,922140,CORRECTIONAL INSTITUTIONS,S206,HOUSEKEEPING- GUARD,DETENTION AND TRANSPORTATION SERVICES - SOUTH TEXAS ICE PROCESSING CENTER (STIPC) FY24 TASK ORDER
70CDCR23FR0000042,CONT_AWD_70CDCR23FR0000042_7012_70CDCR20D00000011_7012,P00010,2025-01-28,-14166.31,B.I. INCORPORATED,PKK6L9KLMYR5,DELIVERY ORDER,U.S. Immigration and Customs Enforcement,561210,FACILITIES SUPPORT SERVICES,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,DE-OBGLIATE FROM CLIN 3020 - ATD OPERATIONAL SUPPORT AND CLOSE OUT TASK ORDER
70CDCR24FR0000053,CONT_AWD_70CDCR24FR0000053_7012_70CDCR21D00000004_7012,P00003,2025-01-29,6777267.0,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,DELIVERY ORDER,U.S. Immigration and Customs Enforcement,561612,SECURITY GUARDS AND PATROL SERVICES,S206,HOUSEKEEPING- GUARD,FUNDING MODIFICATION TO PROVIDE ADDITIONAL FUNDING.
70CDCR24FR0000003,CONT_AWD_70CDCR24FR0000003_7012_HSCEDM15D00015_7012,P00014,2025-02-05,-4867824.31,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,DELIVERY ORDER,U.S. Immigration and Customs Enforcement,561210,FACILITIES SUPPORT SERVICES,S206,HOUSEKEEPING- GUARD,"DE-OBLIGATION OF DETENTION AND TRANSPORTATION FUNDS AND CLOSE OUT OF TASK ORDER FOR DETENTION SERVICES IN TACOMA, WA"
70CDCR24FR0000049,CONT_AWD_70CDCR24FR0000049_7012_70CDCR20D00000011_7012,P00008,2025-02-07,59477400.0,B.I. INCORPORATED,PKK6L9KLMYR5,DELIVERY ORDER,U.S. Immigration and Customs Enforcement,561210,FACILITIES SUPPORT SERVICES,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,FUNDING FOR INTENSIVE SUPERVISION APPEARANCE PROGRAM (ISAP) IV
70CDCR24FR0000056,CONT_AWD_70CDCR24FR0000056_7012_HSCEDM17D00009_7012,P00004,2025-02-13,4766833.0,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,DELIVERY ORDER,U.S. Immigration and Customs Enforcement,561210,FACILITIES SUPPORT SERVICES,S206,HOUSEKEEPING- GUARD,MONTGOMERY PROCESSING CTR FUNDING MODIFICATION
70CDCR25FR0000005,CONT_AWD_70CDCR25FR0000005_7012_70CDCR22D00000001_7012,P00004,2025-02-13,0.0,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,DELIVERY ORDER,U.S. Immigration and Customs Enforcement,561210,FACILITIES SUPPORT SERVICES,S206,HOUSEKEEPING- GUARD,"DETENTION, TRANSPORTATION, AND MEDICAL SERVICES FOR DENVER (AURORA) CONTRACT DETENTION FACILITY"
70CDCR25FR0000013,CONT_AWD_70CDCR25FR0000013_7012_70CDCR20D00000008_7012,P00001,2025-02-13,4956515.81,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,DELIVERY ORDER,U.S. Immigration and Customs Enforcement,561612,SECURITY GUARDS AND PATROL SERVICES,S206,HOUSEKEEPING- GUARD,HOUSING FOR DETAINEES
