canonical_award_id,piid,parent_idv_piid,recipient_legal_name,recipient_uei,recipient_cage,instrument_type,facility_or_service,awarding_office,period_start,current_end,potential_end,latest_action_date,obligations_highergov,award_amount_usaspending,usa_action_row_count,usa_action_net,current_total_value,potential_total_value,psc_code,psc_description,naics_code,naics_description,extent_competed,offers_received,solicitation_procedures,solicitation_identifier,subcontracting_plan,reported_subaward_count,reported_subaward_amount,coverage_class,description,highergov_url,usaspending_url
HSCECR08P00002,HSCECR08P00002,,"CORNELL COMPANIES, INC.",TLDCDE29G781,3MTH6,Purchase Order,Other ICE service — unresolved from description,"OFFICE OF ACQUISITION MANAGEMENT - WASHINGTON, DC OFFICE",2007-09-20,2008-11-06,,2007-11-07,0.0,0.0,1,0,0.0,0.0,X151,Lease/Rental of Ammunition Facilities,561210,Facilities Support Services,Not Competed,0,Sole Source,,,0,,USAspending + HigherGov,"RANGE FACILITIES ARE REQUIRED TO MEET MANDATORY WEAPONS QUALIFICATIONS. THIS FACILITY IS THE ONLY VENDOR W/IN SERVICING AREA WITH THESE SERVICES AND THEY DO NOT ACCEPT CREDIT CARDS.
FY07 DO/PO - HSCEOP07P003438",https://www.highergov.com/contract/HSCECR08P00002/,https://www.usaspending.gov/award/CONT_AWD_HSCECR08P00002_7012_-NONE-_-NONE-
HSCECR09P00021,HSCECR09P00021,,"CORNELL COMPANIES, INC.",TLDCDE29G781,3MTH6,Purchase Order,Other ICE service — unresolved from description,DETENTION COMPLIANCE AND REMOVALS,2008-09-27,2009-08-31,2009-08-31,2017-05-31,300.0,300.0,3,300.0,300.0,300.0,X291,Lease/Rental of Recreation Facilities (Non-Building),713990,All Other Amusement and Recreation Industries ,Not Competed,1,Simplified Acquisition,,,0,,USAspending + HigherGov,FIRING RANGE FACILITIES LEASE TO MEET MANDATORY WEAPONS QUALIFICATIONS.,https://www.highergov.com/contract/HSCECR09P00021/,https://www.usaspending.gov/award/CONT_AWD_HSCECR09P00021_7012_-NONE-_-NONE-
HSCECR09P00123,HSCECR09P00123,,"CORNELL COMPANIES, INC.",TLDCDE29G781,3MTH6,Purchase Order,Other ICE service — unresolved from description,DETENTION COMPLIANCE AND REMOVALS,2009-08-25,2010-08-31,2010-08-31,2017-05-31,300.0,300.0,2,300.0,300.0,300.0,X291,Lease/Rental of Recreation Facilities (Non-Building),713990,All Other Amusement and Recreation Industries ,Not Competed Under Simplified Acquisition Procedures,1,Simplified Acquisition,HSCECR09Q00104,,0,,USAspending + HigherGov,FIRING RANGE USAGE,https://www.highergov.com/contract/HSCECR09P00123/,https://www.usaspending.gov/award/CONT_AWD_HSCECR09P00123_7012_-NONE-_-NONE-
HSCEDM10P00106,HSCEDM10P00106,,"CORNELL COMPANIES, INC.",TLDCDE29G781,3MTH6,Purchase Order,Detention services — facility unresolved from description,DETENTION MANAGEMENT LAGUNA,2010-02-26,2010-03-23,2010-03-23,2017-05-31,540.54,540.54,2,540.54,540.54,540.54,S206,Guard Services,561210,Facilities Support Services,Full And Open Competition,1,Negotiated Proposal/Quote,,Plan Not Required,0,,USAspending + HigherGov,"PROVIDE FUNDS FOR HOUSING OF DETAINEES FROM BIG SPRING, TX DUE TO INCLEMENT WEATHER",https://www.highergov.com/contract/HSCEDM10P00106/,https://www.usaspending.gov/award/CONT_AWD_HSCEDM10P00106_7012_-NONE-_-NONE-
HSCEDM11P00068,HSCEDM11P00068,,"CORNELL COMPANIES, INC.",TLDCDE29G781,3MTH6,Purchase Order,Other ICE service — unresolved from description,DETENTION MANAGEMENT LAGUNA,2011-02-02,2011-02-03,2011-02-03,2017-05-31,503.82,503.82,2,503.82,503.82,503.82,X161,Lease/Rental of Family Housing Facilities,531110,Lessors of Residential Buildings and Dwellings ,Competed Under Simplified Acquisition Procedures,1,Simplified Acquisition,,Plan Not Required,0,,USAspending + HigherGov,FUNDING FOR EMERGENCY SITUATION DUE TO INCLEMENT WEATHER,https://www.highergov.com/contract/HSCEDM11P00068/,https://www.usaspending.gov/award/CONT_AWD_HSCEDM11P00068_7012_-NONE-_-NONE-
HSCEDM14P00005,HSCEDM14P00005,,"CORNELL COMPANIES, INC.",TLDCDE29G781,3MTH6,Purchase Order,West Texas detention services,DETENTION MANAGEMENT LAGUNA,2013-11-25,2014-01-15,2014-01-15,2017-05-31,8170.71,8170.71,3,8170.710000000001,8170.71,8170.71,S206,Guard Services,561210,Facilities Support Services,Not Competed,1,Sole Source,,Plan Not Required,0,,USAspending + HigherGov,"USE FACILITIES DUE TO POSSIBLE BAD WEATHER AND SHUTDOWN OF OFFICES IF ICE DOES HIT THE WEST TEXAS AREA AND DFW AREA.
",https://www.highergov.com/contract/HSCEDM14P00005/,https://www.usaspending.gov/award/CONT_AWD_HSCEDM14P00005_7012_-NONE-_-NONE-
HSCEDM15P00017,HSCEDM15P00017,,"CORNELL COMPANIES, INC.",TLDCDE29G781,3MTH6,Purchase Order,West Texas detention services,DETENTION MANAGEMENT LAGUNA,2014-12-31,2015-03-31,2016-04-08,2017-05-31,18099.47,18099.47,9,18099.47,18099.47,18099.47,S206,Guard Services,561210,Facilities Support Services,Not Competed,1,Sole Source,,Plan Not Required,0,,USAspending + HigherGov,"IGF::CT::IGF
USE FACILITIES DUE TO POSSIBLE BAD WEATHER AND SHUTDOWN OF OFFICES IF ICE DOES HIT THE WEST TEXAS AREA AND DFW AREA.
",https://www.highergov.com/contract/HSCEDM15P00017/,https://www.usaspending.gov/award/CONT_AWD_HSCEDM15P00017_7012_-NONE-_-NONE-
HSCEDM16P00015,HSCEDM16P00015,,"CORNELL COMPANIES, INC.",TLDCDE29G781,3MTH6,Purchase Order,Detention services — facility unresolved from description,DETENTION COMPLIANCE AND REMOVALS,2016-01-08,2017-01-27,2017-01-27,2016-11-29,0.0,0.0,2,0.0,0.0,0.0,S206,Guard Services,561210,Facilities Support Services,Not Competed,1,Sole Source,,Plan Not Required,0,,USAspending + HigherGov,DETENTION SERVICES,https://www.highergov.com/contract/HSCEDM16P00015/,https://www.usaspending.gov/award/CONT_AWD_HSCEDM16P00015_7012_-NONE-_-NONE-
HSCEDM17P00032,HSCEDM17P00032,,"CORNELL COMPANIES, INC.",TLDCDE29G781,3MTH6,Purchase Order,Detention services — facility unresolved from description,DETENTION COMPLIANCE AND REMOVALS,2017-01-27,2017-03-02,2017-03-02,2023-04-13,2499.09,2499.09,2,2499.09,2499.09,2499.09,S206,Guard Services,561612,Security Guards and Patrol Services ,Not Competed,1,Sole Source,,Plan Not Required,0,,USAspending + HigherGov,INCLEMENT WEATHER HOUSING,https://www.highergov.com/contract/HSCEDM17P00032/,https://www.usaspending.gov/award/CONT_AWD_HSCEDM17P00032_7012_-NONE-_-NONE-
HSCEDM17P00027,HSCEDM17P00027,,"CORNELL COMPANIES, INC.",TLDCDE29G781,3MTH6,Purchase Order,Other ICE service — unresolved from description,DETENTION COMPLIANCE AND REMOVALS,2017-02-22,2017-03-31,2017-03-31,2020-04-14,4938.57,4938.57,2,4938.57,4938.57,4938.57,R429,Support- Professional: Emergency Response/Disaster Planning/Preparedness Support,925110,Administration of Housing Programs ,Not Competed,1,Sole Source,,Plan Not Required,0,,USAspending + HigherGov,INCLEMENT WEATHER FOR GILES W. DALBY CORRECTIONAL FACILITY,https://www.highergov.com/contract/HSCEDM17P00027/,https://www.usaspending.gov/award/CONT_AWD_HSCEDM17P00027_7012_-NONE-_-NONE-
