acquisition_layer,competition_denominator,record_id,piid,parent_idv_piid,is_order_or_call,recipient_legal_name,recipient_uei,instrument_type,facility_or_service,award_obligations_usaspending,linked_order_obligations_highergov,potential_total_value,period_start,potential_end,extent_competed,solicitation_procedures,offers_received,solicitation_identifier,set_aside,fair_opportunity_limitation,other_than_full_and_open_reason,multiple_or_single_award,competition_bucket,reported_subaward_count,reported_subaward_amount,description,source_url,source_coverage,parent_vehicle_extent_competed,parent_vehicle_solicitation_procedures,parent_vehicle_offers_received,parent_vehicle_solicitation_identifier,parent_vehicle_competition_bucket,parent_vehicle_source_url
prime_award,yes,70CDCR18A00000007-70CDCR20FC0000019,70CDCR20FC0000019,70CDCR18A00000007,yes,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,BPA Call,Robert A. Deyton Detention Facility,724669.57,,724669.57,2020-07-23,2022-03-11,COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,1,,NO SET ASIDE USED.,,,SINGLE AWARD,simplified_acquisition_one_offer,0,,DETAINEE BED DAYS AT THE ROBERT A. DEYTON DETENTION FACILITY,https://www.usaspending.gov/award/CONT_AWD_70CDCR20FC0000019_7012_70CDCR18A00000007_7012,USAspending + HigherGov,,,,,competition_metadata_missing,https://www.highergov.com/idv/70CDCR18A00000007/
prime_award,yes,70CDCR20D00000012-70CDCR20FR0000050,70CDCR20FR0000050,70CDCR20D00000012,yes,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,Delivery Order,Transportation/removal services,51996947.54,,51996947.54,2020-08-06,2021-08-05,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,,,,,SINGLE AWARD,full_open_offer_count_missing,0,,FY20 TO FOR DETENTION AND TRANSPORTATION SERVICES - SOUTH TEXAS ICE PROCESSING CENTER (STIPC),https://www.usaspending.gov/award/CONT_AWD_70CDCR20FR0000050_7012_70CDCR20D00000012_7012,USAspending + HigherGov,Full And Open Competition,Negotiated Proposal/Quote,1,70CDCR20R0000001,full_open_one_offer,https://www.highergov.com/idv/70CDCR20D00000012/
prime_award,yes,HSCEDM11D00003-70CDCR20FR0000066,70CDCR20FR0000066,HSCEDM11D00003,yes,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,Delivery Order,Transportation/removal services,44034146.30,,44034146.30,2020-08-31,2021-10-15,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,,,,,SINGLE AWARD,full_open_offer_count_missing,0,,"DETENTION MANAGEMENT/MEDICAL/TRANSPORTATION FOR AURORA, CO",https://www.usaspending.gov/award/CONT_AWD_70CDCR20FR0000066_7012_HSCEDM11D00003_7012,USAspending + HigherGov,Full And Open Competition,Negotiated Proposal/Quote,1,HSCEDM11R00002,full_open_one_offer,https://www.highergov.com/idv/HSCEDM11D00003/
prime_award,yes,15M40018DA3500001-70CDCR21FR0000001,70CDCR21FR0000001,15M40018DA3500001,yes,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,Delivery Order,Detention services — facility unresolved from description,116.76,,116.76,2020-10-01,2021-09-30,COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,,,,,,SINGLE AWARD,simplified_acquisition_offer_count_missing,0,,DETENTION AND GUARD SERVICES,https://www.usaspending.gov/award/CONT_AWD_70CDCR21FR0000001_7012_15M40018DA3500001_1544,USAspending + HigherGov,,,,,,
prime_award,yes,70CDCR21P00000004,70CDCR21P00000004,,no,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,Purchase Order,Detention services — facility unresolved from description,0.00,,9639.90,2020-10-27,2023-04-21,NOT COMPETED,ONLY ONE SOURCE,1,70CDCR21P00000004 ,NO SET ASIDE USED.,,ONLY ONE SOURCE-OTHER (FAR 6.302-1 OTHER),,sole_source_or_not_competed,0,,DETAINEE HOUSING COST FOR EMERGENCY SITUATION-INCLEMENT WEATHER,https://www.usaspending.gov/award/CONT_AWD_70CDCR21P00000004_7012_-NONE-_-NONE-,USAspending + HigherGov,,,,,,
prime_award,yes,70CDCR20D00000008-70CDCR21FR0000003,70CDCR21FR0000003,70CDCR20D00000008,yes,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,Delivery Order,Golden State Annex,52068498.10,,52068498.10,2020-11-03,2022-03-30,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,,,,,SINGLE AWARD,full_open_offer_count_missing,0,,TO ESTABLISH A NEW TASK ORDER FOR DETENTION SERVICES AT MESA VERDE AND GOLDEN STATE FACILITY,https://www.usaspending.gov/award/CONT_AWD_70CDCR21FR0000003_7012_70CDCR20D00000008_7012,USAspending + HigherGov,Full And Open Competition,Negotiated Proposal/Quote,1,70CDCR20R00000002,full_open_one_offer,https://www.highergov.com/idv/70CDCR20D00000008/
prime_award,yes,70CDCR20D00000009-70CDCR21FR0000004,70CDCR21FR0000004,70CDCR20D00000009,yes,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,Delivery Order,Transportation/removal services,110740019.25,,110740019.25,2020-11-04,2021-12-19,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,,,,,SINGLE AWARD,full_open_offer_count_missing,0,,TASK ORDER IS TO PROVIDE FUNDING FOR DETENTION TRANSPORTATION AND MEDICAL SERVICES IN THE LOS ANGELES AREA OF RESPONSIBILITY,https://www.usaspending.gov/award/CONT_AWD_70CDCR21FR0000004_7012_70CDCR20D00000009_7012,USAspending + HigherGov,Full And Open Competition,Negotiated Proposal/Quote,1,70CDCR20R00000002,full_open_one_offer,https://www.highergov.com/idv/70CDCR20D00000009/
prime_award,yes,HSCEDM14A00001-70CDCR21FC0000008,70CDCR21FC0000008,HSCEDM14A00001,yes,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,BPA Call,Rio Grande detention services,4862448.88,,4862448.88,2021-04-01,2023-03-08,COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,1,,NO SET ASIDE USED.,,,SINGLE AWARD,simplified_acquisition_one_offer,0,,DETENTION SERVICES FOR RIO GRANDE DETENTION CENTER,https://www.usaspending.gov/award/CONT_AWD_70CDCR21FC0000008_7012_HSCEDM14A00001_7012,USAspending + HigherGov,,,,,competition_metadata_missing,https://www.highergov.com/idv/HSCEDM14A00001/
prime_award,yes,70CDCR18A00000007-70CDCR21FC0000011,70CDCR21FC0000011,70CDCR18A00000007,yes,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,BPA Call,Robert A. Deyton Detention Facility,255636.81,,255636.81,2021-07-23,2022-07-22,COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,1,,NO SET ASIDE USED.,,,SINGLE AWARD,simplified_acquisition_one_offer,0,,DETAINEE BED DAYS AT THE ROBERT A. DEYTON DETENTION FACILITY,https://www.usaspending.gov/award/CONT_AWD_70CDCR21FC0000011_7012_70CDCR18A00000007_7012,USAspending + HigherGov,,,,,competition_metadata_missing,https://www.highergov.com/idv/70CDCR18A00000007/
prime_award,yes,70CDCR20D00000012-70CDCR21FR0000051,70CDCR21FR0000051,70CDCR20D00000012,yes,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,Delivery Order,South Texas ICE Processing Center,52818941.99,,52818941.99,2021-08-06,2022-08-05,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,,,,,SINGLE AWARD,full_open_offer_count_missing,0,,"SOUTH TEXAS DETENTION COMPLEX NEW TASK ORDER AWARD: TBD POP 06 AUG 2021 - 05 AUG 2022. FUNDING THROUGH 30 SEPTEMBER 2021.

COR RANDY LECOMPTE
ACOR: MICHAEL SHERDIAN",https://www.usaspending.gov/award/CONT_AWD_70CDCR21FR0000051_7012_70CDCR20D00000012_7012,USAspending + HigherGov,Full And Open Competition,Negotiated Proposal/Quote,1,70CDCR20R0000001,full_open_one_offer,https://www.highergov.com/idv/70CDCR20D00000012/
