record_type,program,award_id,parent_award_id,recipient,uei,solicitation_id,start_date,current_or_ordering_end,potential_end,obligated_amount,potential_value,offers,competition,procedure_or_pricing,description,primary_or_structured_source
peer_parent_idv,ICE Skip Tracing,70CDCR26D00000006,,AI Solutions 87,RXFLA65SEJL9,26SOLDCR01,2025-12-16,2027-12-15,,,48491250.00,51,Full And Open Competition,Negotiated Proposal/Quote,Peer awardee,HigherGov award record
peer_parent_idv,ICE Skip Tracing,70CDCR26D00000008,,Response AI Solutions,ZE2JVFS8ML75,26SOLDCR01,2025-12-16,2027-12-15,,,9715500.00,51,Full And Open Competition,Negotiated Proposal/Quote,Peer awardee,HigherGov award record
peer_parent_idv,ICE Skip Tracing,70CDCR26D00000012,,SOS International,L3VCKMD7J585,26SOLDCR01,2025-12-16,2027-12-15,,,123166968.76,53,Full And Open Competition,Negotiated Proposal/Quote,Peer awardee,HigherGov award record
peer_parent_idv,ICE Skip Tracing,70CDCR26D00000013,,Bluehawk,LJ93K5X4BJN7,26SOLDCR01,2025-12-16,2027-12-15,,,201443062.50,51,Full And Open Competition,Negotiated Proposal/Quote,Peer awardee,HigherGov award record
peer_parent_idv,ICE Skip Tracing,70CDCR26D00000014,,Global Recovery Group,PDG7UND3CWN8,26SOLDCR01,2026-01-16,2028-01-15,,,217265625.00,53,Full And Open Competition,Negotiated Proposal/Quote,Peer awardee,HigherGov award record
peer_parent_idv,ICE Skip Tracing,70CDCR26D00000015,,Capgemini Government Solutions,DR6MQ56MGFA5,26SOLDCR01,2025-12-16,2027-12-15,,,365821218.75,51,Full And Open Competition,Negotiated Proposal/Quote,Peer awardee,HigherGov award record
peer_parent_idv,ICE Skip Tracing,70CDCR26D00000016,,Omniplex World Services Corporation,K87GBMDQNEX8,26SOLDCR01,2025-12-16,2027-12-15,,,113242027.50,51,Full And Open Competition,Negotiated Proposal/Quote,Peer awardee,HigherGov award record
peer_parent_idv,ICE Skip Tracing,70CDCR26D00000017,,Fraud,D13LLJJZYH64,26SOLDCR01,2025-12-16,2027-12-15,,,25578000.00,51,Full And Open Competition,Negotiated Proposal/Quote,"HigherGov clean-name field is 'Fraud'; legal name requires UEI-based verification",HigherGov award record
peer_parent_idv,ICE Skip Tracing,70CDCR26D00000018,,Gravitas Professional Services,EJB9AHGV8BD1,26SOLDCR01,2025-12-16,2027-12-15,,,32062500.00,51,Full And Open Competition,Negotiated Proposal/Quote,Peer awardee,HigherGov award record
peer_parent_idv,ICE Skip Tracing,70CDCR26D00000019,,GSS - Government Support Services,EMNSGMGP3CP8,26SOLDCR01,2025-12-16,2027-12-15,,,55575000.00,51,Full And Open Competition,Negotiated Proposal/Quote,Peer awardee,HigherGov award record
peer_parent_idv,ICE Skip Tracing,70CDCR26D00000020,,Constellation,F93GMYJCTJR8,26SOLDCR01,2025-12-16,2027-12-15,,,57848437.51,51,Full And Open Competition,Negotiated Proposal/Quote,Peer awardee,HigherGov award record
peer_parent_idv,ICE Skip Tracing,70CDCR26D00000021,,National Protective Services,W4AUG3SNRTL6,26SOLDCR01,2025-12-16,2027-12-15,,,68231250.00,51,Full And Open Competition,Negotiated Proposal/Quote,Peer awardee,HigherGov award record
