ma_id,entity_id,entity_name,review_level,formation_or_registration_date,status_as_reported,people_and_roles,finding_ids,source_url,source_artifact
001235111,7229,ENCORE UNLIMITED LLC,official role index only,,not established,TAREK ALI HASSAN — MANAGER,15535,https://corp.sec.state.ma.us/CorpWeb/CorpSearch/CorpSummary.aspx?sysvalue=iDsTwLqyoZucuyAlzeuQH8DIeD9Wwausaa4xB.T4X1o-,investigations/hassan-boston/evidence/corporate/search-tarek-hassan.txt
001234274,7185,HASSAN RESIDENTIAL PROPERTIES LLC,official entity summary and filing index; see report for PDFs inspected,08-03-2016,Date of Involuntary Dissolution by Court Order or by the SOC: 06-30-2021,"HICHAM ALI HASSAN — MANAGER, SOC SIGNATORY, REAL PROPERTY, RESIDENT AGENT",15521,https://corp.sec.state.ma.us/CorpWeb/CorpSearch/CorpSummary.aspx?sysvalue=vWYUl.3TUzKQqQNOrie13MC1zRuU_2OjBSOlFc8r3I0-,investigations/hassan-boston/evidence/corporate/entity-001234274.txt
001222306,7230,MAVERICK SQUARE LLC,official role index only,,not established,TAREK ALI HASSAN — MANAGER; TAREK ALI HASSAN — REAL PROPERTY,15535,https://corp.sec.state.ma.us/CorpWeb/CorpSearch/CorpSummary.aspx?sysvalue=4S3W_czqWTCQeCRAUqwbJgYQI6p4zBuY3sZnYGw42Ys-,investigations/hassan-boston/evidence/corporate/search-tarek-hassan.txt
042739657,7195,NADER CORP.,official entity summary and filing index; see report for PDFs inspected,07-14-1981,Date of Involuntary Dissolution by Court Order or by the SOC: 06-30-2016,"HICHAM ALI HASSAN — PRESIDENT, TREASURER, SECRETARY, DIRECTOR, RESIDENT AGENT",15531,https://corp.sec.state.ma.us/CorpWeb/CorpSearch/CorpSummary.aspx?sysvalue=8MrjuVi24hw8LbeaiqKOXr2lFgllRdhIBYM.goE6.5I-,investigations/hassan-boston/evidence/corporate/entity-042739657.txt
800720931,7197,PALOMA TANNERY LLC,official entity summary and filing index; see report for PDFs inspected,04-12-2011,Date of Involuntary Dissolution by Court Order or by the SOC: 12-31-2024,"HICHAM ALI HASSAN — MANAGER, SOC SIGNATORY, REAL PROPERTY, RESIDENT AGENT",15533,https://corp.sec.state.ma.us/CorpWeb/CorpSearch/CorpSummary.aspx?sysvalue=4Ndzf2_7lqjVrYy.X9SLXUx7.NK1mx7C4GPgzY1tNQg-,investigations/hassan-boston/evidence/corporate/entity-800720931.txt
001037265,7179,PEMBROKE TOWNHOUSE LLC,official entity summary and filing index; see report for PDFs inspected,09-30-2010,Date of Cancellation: 08-24-2012,"ZOUHAIR ALI HASSAN MR — MANAGER, REAL PROPERTY; HOUSSAM ALI HASSAN — MANAGER, SOC SIGNATORY, REAL PROPERTY, RESIDENT AGENT; ZOUHAIR ALI HASSAN — SOC SIGNATORY",15515,https://corp.sec.state.ma.us/CorpWeb/CorpSearch/CorpSummary.aspx?sysvalue=SzXrhCtHg8rY.JescCA3wOaqKm3Gpvx1oOru6NW8BT0-,investigations/hassan-boston/evidence/corporate/entity-001037265.txt
000963451,7219,"PINECREST ROAD, LLC",official role index only,,not established,HOUSSAM HASSAN — MANAGER; HOUSSAM HASSAN — SOC SIGNATORY; HOUSSAM HASSAN — REAL PROPERTY,15534,https://corp.sec.state.ma.us/CorpWeb/CorpSearch/CorpSummary.aspx?sysvalue=TM0ywiGAeVNcOILv090sKgTVdpBiNWBc8Vy1Nr7AERQ-,investigations/hassan-boston/evidence/corporate/search-houssam-hassan.txt
262859738,7196,SILVERSTONE DEVELOPMENT LLC,official entity summary and filing index; see report for PDFs inspected,06-19-2008,not established,"HOUSSAM ALI HASSAN — MANAGER, SOC SIGNATORY, REAL PROPERTY, RESIDENT AGENT",15532,https://corp.sec.state.ma.us/CorpWeb/CorpSearch/CorpSummary.aspx?sysvalue=_s3soCuA939YFtWeRjYyJ8zP7UN42s3tSBRRP_uogCI-,investigations/hassan-boston/evidence/corporate/entity-262859738.txt
001955588,7231,SOLE SUPPLIER LLC,official role index only,,not established,TAREK ALI HASSAN — REAL PROPERTY,15535,https://corp.sec.state.ma.us/CorpWeb/CorpSearch/CorpSummary.aspx?sysvalue=YFo2QxOaQQLB1Jh1rlfHZMVq97GObd1FaLw_BrurHms-,investigations/hassan-boston/evidence/corporate/search-tarek-hassan.txt
001524820,7202,SPEAR FLATS LLC,official role index only,,not established,HOUSSAM ALI HASSAN — MANAGER; HOUSSAM ALI HASSAN — SOC SIGNATORY; HOUSSAM ALI HASSAN — REAL PROPERTY,15534,https://corp.sec.state.ma.us/CorpWeb/CorpSearch/CorpSummary.aspx?sysvalue=3PaaTs07ZaKU_wc5p4zbOYG_MGaykaJUqkJOUWubmNQ-,investigations/hassan-boston/evidence/corporate/search-houssam-hassan-page2.txt
001297451,7189,TREND BOSTON LLC,official entity summary and filing index; see report for PDFs inspected,11-01-2017,not established,"TALAL ALI HASSAN — MANAGER, SOC SIGNATORY, REAL PROPERTY, RESIDENT AGENT",15525,https://corp.sec.state.ma.us/CorpWeb/CorpSearch/CorpSummary.aspx?sysvalue=7M6OiiAkHHcoTkaHs6klRjGZ7df6_0JzKV9f43nUf_Y-,investigations/hassan-boston/evidence/corporate/entity-001297451.txt
000964743,7220,WARREN AVENUE LLC,official role index only,,not established,HOUSSAM HASSAN — SOC SIGNATORY; HOUSSAM HASSAN — MANAGER; HOUSSAM HASSAN — REAL PROPERTY,15534,https://corp.sec.state.ma.us/CorpWeb/CorpSearch/CorpSummary.aspx?sysvalue=a_gKEIc_ttAgRR0vB3PfT8QIQBpz.uuJf10OgcGVJ7Q-,investigations/hassan-boston/evidence/corporate/search-houssam-hassan.txt
001028823,7233,WARREN TOWNHOUSE LLC,official entity summary and filing index; see report for PDFs inspected,05-20-2010,Date of Cancellation: 10-25-2011,"HOUSSAM ALI HASSAN — MANAGER, SOC SIGNATORY, REAL PROPERTY, RESIDENT AGENT; ANTHONY SUMMERS — SOC SIGNATORY",15538,https://corp.sec.state.ma.us/CorpWeb/CorpSearch/CorpSummary.aspx?sysvalue=Znfm.eQE35Umj5VsMiuNZzhxehwRFbDFV2MTCBHQhi4-,investigations/hassan-boston/evidence/corporate/entity-001028823.txt
001041847,7215,WEST CANTON TOWNHOUSE LLC,official role index only,,not established,HOUSSAM ALI HASSAN MR — MANAGER; HOUSSAM HASSAN MR — REAL PROPERTY,15534,https://corp.sec.state.ma.us/CorpWeb/CorpSearch/CorpSummary.aspx?sysvalue=rRdiKqjCQx6ZTU.PchQ1BmW0iDb_DxGYI8kEV3vZAhc-,investigations/hassan-boston/evidence/corporate/search-houssam-hassan-page3.txt; investigations/hassan-boston/evidence/corporate/search-houssam-hassan.txt
001384404,7190,YORK OUTFITTERS LLC,official entity summary and filing index; see report for PDFs inspected,05-17-2019,not established,"TALAL ALI HASSAN — MANAGER, SOC SIGNATORY, REAL PROPERTY, RESIDENT AGENT",15526,https://corp.sec.state.ma.us/CorpWeb/CorpSearch/CorpSummary.aspx?sysvalue=cUNu.PNztl2FEKYgARgYqTq.FP36PBWtno8w958i6No-,investigations/hassan-boston/evidence/corporate/entity-001384404.txt
